username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018-08-30 15:43;4;5;"#KeralaFlood #Kerala #KeralaFloodRelief #KeralaFloodVictims @vijayanpinarayi These #women , who hail from different parts of the country met at http:// change.org 's ‘She Creates Change' programme. https:// thelogicalindian.com/get-inspired/k erala-flood-rescue/ …";;@vijayanpinarayi;#KeralaFlood #Kerala #KeralaFloodRelief #KeralaFloodVictims #women;"1035108285777498113";https://twitter.com/LogicalIndians/status/1035108285777498113
;2018-08-30 12:26;1;0;"Kerala's devastation: Why can't we learn from others? - THE DAYAFTER https://www. dayafterindia.com/2018/08/30/ker alas-devastation-why-cant-we-learn-from-others/ … #keralaflood #kerala pic.twitter.com/FZCXFypVbQ";;;#keralaflood #kerala;"1035058722798751744";https://twitter.com/indiadayafter/status/1035058722798751744
;2018-08-30 11:30;3;2;"Appreciate efforts of little girls from #Pune for #KeralaFlood #keralarelieffunds #KeralaFloods2018 #keralaSos #KeralaDonationChallenge #EkDiwasSamajasathi https:// twitter.com/eds_foundation /status/1035042152307257344 …";;;#Pune #KeralaFlood #keralarelieffunds #KeralaFloods2018 #keralaSos #KeralaDonationChallenge #EkDiwasSamajasathi;"1035044595619385349";https://twitter.com/mundeajay/status/1035044595619385349
;2018-08-29 18:15;0;0;"Well he needs to up his game, Mr Kamal Hingorani does. Spicejet profiting from heavy cancellation fees on Kerala flight #KeralaFlood";;;#KeralaFlood;"1034784005864837120";https://twitter.com/sunilkarve/status/1034784005864837120
;2018-08-29 17:37;1;2;"http:// OommenChandy.in Live Stream from Alappuzha on 28/08/2018 https:// youtu.be/5FYAJRBEEuI via @YouTube #OommenChandy #KeralaFlood";;@YouTube;#OommenChandy #KeralaFlood;"1034774468059521024";https://twitter.com/Anil_Alex/status/1034774468059521024
;2018-08-29 17:29;1;1;"What a disgusting photo op.....trying to leverage a tragedy....this is lower even from the standards of @INCIndia & @RahulGandhi #Congress #KeralaFloods #KeralaFlood #KeralaReliefFund #Kerala https:// twitter.com/chathootti/sta tus/1034665777545322497 …";;@INCIndia @RahulGandhi;#Congress #KeralaFloods #KeralaFlood #KeralaReliefFund #Kerala;"1034772556451139584";https://twitter.com/aadibdl/status/1034772556451139584
;2018-08-29 16:46;401;985;"Is this for real? Robin, #Fisherman : "We dont want the 3000 rs govt has announced per boat, for saving lives. Let that go for #KeralaFlood relief. Instead,16 of us have brought 30,000rs collectively for the diasater relief fund, from the last 3 days we could go for work. @ndtv pic.twitter.com/cU5NKsJc8i";;@ndtv;#Fisherman #KeralaFlood;"1034761778717028352";https://twitter.com/SnehaMKoshy/status/1034761778717028352
;2018-08-29 15:32;5;13;"Such a awesome gesture of @namishtaneja very proud of u Nami @namishtaneja I done our part for #KeralaFlood & Nami u have a small suprise from our side hope u like that @namishtaneja pic.twitter.com/FviWEqwEde";;@namishtaneja @namishtaneja @namishtaneja;#KeralaFlood;"1034743203117772801";https://twitter.com/Mounika04687730/status/1034743203117772801
;2018-08-29 15:16;15;122;". @ReallySwara IS BACK to social media & how! Soon after returning from long vacay, #SwaraBhaskar gave it back to TV actress, @Payal_Rohatgi who 1st made insensitive comments on #KeralaFlood , then took a jibe at #Swara ’s masturbation scene in @vdwthefilm ! https://www. spotboye.com/bollywood/news /payal-rohatgi-takes-a-dig-on-swara-bhasker-s-masturbation-scene-in-veere-di-wedding-this-is-what-she-replied/5b8668d762bd100f0e890d01 …";;@ReallySwara @Payal_Rohatgi @vdwthefilm;#SwaraBhaskar #KeralaFlood #Swara;"1034738943810568194";https://twitter.com/Spotboye/status/1034738943810568194
;2018-08-29 15:00;1;1;"Apart from monetary help, @RichaChadha also did a little extra to help #KeralaFlood victims https:// timesofindia.indiatimes.com/entertainment/ hindi/bollywood/news/check-out-richa-chadhas-unique-way-of-helping-the-people-of-kerala/articleshow/65589400.cms …";;@RichaChadha;#KeralaFlood;"1034734906654580737";https://twitter.com/etimes/status/1034734906654580737
;2018-08-29 14:35;1;0;"If beef can make floods, then eating beef is the better option to remove the scarcity of water from many countries ~ Just Saying #KeralaFlood #KeralaFloods2018";;;#KeralaFlood #KeralaFloods2018;"1034728645443481605";https://twitter.com/RickeyYan/status/1034728645443481605
;2018-08-29 11:20;3;1;"#CochinInternationalAirport is ready to operate from today. The challenge it has taken to make up from severe damage was mass. 200 workers for 8 days - 24 hrs! . #KeralaFlood #RebuildKerala #Nedumbassery";;;#CochinInternationalAirport #KeralaFlood #RebuildKerala #Nedumbassery;"1034679538637328385";https://twitter.com/jabru84/status/1034679538637328385
;2018-08-29 11:00;2;2;"800 families affected by the #KeralaFlood have received #reliefkits from our local partners. Each kit is able to sustain a family of four for 10 days! https:// sampur.se/2PsAbrx pic.twitter.com/70JsKTRq6J";;;#KeralaFlood #reliefkits;"1034674526909620226";https://twitter.com/SamsPurseUK/status/1034674526909620226
;2018-08-29 10:04;9;24;"#CRPF , police and MLAs from various political parties join as volunteers to clean mud and sludge from #flood -hit houses in #Kerala and get the state back to normal life. #KeralaFlood #KeralaFloodRelief #kerala #KeralaFloods2018 pic.twitter.com/auSWDeCHVH";;;#CRPF #flood #Kerala #KeralaFlood #KeralaFloodRelief #kerala #KeralaFloods2018;"1034660580584353793";https://twitter.com/LogicalIndians/status/1034660580584353793
;2018-08-29 09:31;0;1;"And this NGO gets funds from overseas but when overseas country wants to send fund in aid of #KeralaFlood , Modi says no need https:// twitter.com/t_d_h_nair/sta tus/1034478501343178752 …";;;#KeralaFlood;"1034652216605302785";https://twitter.com/rajennair/status/1034652216605302785
;2018-08-29 08:45;1;0;"#keralaflood Really big salute to our top leaders of academic departments who was always ready to help the flood affected school 24x7 till from the day of flood DDE Pathanamthitta , DIET Principal , and DPO Ssa Pta Dr Vijayamohan Raghavan pic.twitter.com/WMgMt4KyaT";;;#keralaflood;"1034640541487517696";https://twitter.com/PRAJIT20/status/1034640541487517696
;2018-08-28 22:40;2;1;"#RebuiltKerala To make a new Kerala #NavaNirman & recap Kerala from #KeralaFlood our Great #MetroMan @E_Sreedharan is the most appropriate to take a helm to that. @narendramodi";;@E_Sreedharan @narendramodi;#RebuiltKerala #NavaNirman #KeralaFlood #MetroMan;"1034488374524952576";https://twitter.com/Sreelakshmi_vij/status/1034488374524952576
;2018-08-28 21:15;10;46;"800 families affected by the #KeralaFlood have received #reliefkits from our local partners. Each kit is able to sustain a family of four for 10 days! https:// sampur.se/2NrFmX5 pic.twitter.com/rFNJleTvyO";;;#KeralaFlood #reliefkits;"1034467070438715397";https://twitter.com/SamaritansPurse/status/1034467070438715397
;2018-08-28 20:41;3;0;"Second pic from Gujarat And Third pic from MP . #KeralaFlood pic.twitter.com/FtFPw6gbHx";;;#KeralaFlood;"1034458504155865088";https://twitter.com/AapChorHain/status/1034458504155865088
;2018-08-28 17:04;0;0;"#RahulGandhi meets #KeralaFlood victims after coming from his world tour to make sure Congress gets funds for #2019Elections . Who is this guy fooling";;;#RahulGandhi #KeralaFlood #2019Elections;"1034403953394368517";https://twitter.com/AbsolutelyIndi2/status/1034403953394368517
;2018-08-28 15:19;1;0;"Thanks for the Valuable Contribution from A.S. Computer Education, Sathyamangalam. Amount contributed - Rs. 1000 We pledge to make #KeralaFlood #EveryRupeeCount #SaveKerala A.S. Computer Eduation - Sathyamangalam - 8883417497 For Contributing: 9597455259 pic.twitter.com/W3aQqWUEEU";;;#KeralaFlood #EveryRupeeCount #SaveKerala;"1034377459775430657";https://twitter.com/tnrdf/status/1034377459775430657
;2018-08-28 13:34;0;0;"Shame on @cpimspeak and their ideology CPI accuses CPM of highjacking Kerala relief material received from other states and distributing it under its party banner #KeralaFlood #KeralaSOS #KeralaFloodRelief #KeralaReliefFund https:// wp.me/p5pHpP-uXd via @opindia_com";;@cpimspeak @opindia_com;#KeralaFlood #KeralaSOS #KeralaFloodRelief #KeralaReliefFund;"1034351065989304320";https://twitter.com/iyer_shreedhar/status/1034351065989304320
;2018-08-28 13:12;0;0;"Thats soooooooooo true man ...why is she even behaving like a psycho? Is she trying to add insult to the injury of #KeralaFlood victims & sufferers? @Payal_Rohatgi go n buy some common sense from the designer store if it’s made available anywhere in Mumbai city. #Moron https:// twitter.com/roflgandhi_/st atus/1034145579138539520 …";;@Payal_Rohatgi;#KeralaFlood #Moron;"1034345536445444096";https://twitter.com/20Sheenu/status/1034345536445444096
;2018-08-28 12:36;2;3;"In case you didn't see it I'm just going to retweet this thread about #Kerala , #KeralaFloods2018 , #KeralaFlood #KeralaFloodRelief #KeralaReliefFund , and this astonishing before-and-after image from NASA: https://www. thehindu.com/news/national/ kerala/kerala-floods-before-and-after-images-from-nasa-show-level-of-inundation/article24789906.ece … https:// twitter.com/ClaireBerlinsk i/status/1034082522555133953 …";;;#Kerala #KeralaFloods2018 #KeralaFlood #KeralaFloodRelief #KeralaReliefFund;"1034336471522652160";https://twitter.com/ClaireBerlinski/status/1034336471522652160
;2018-08-28 11:29;0;0;"Looking from space #NASA releases before-after images of #Kerala showing massive extent of floods #KeralaFlood #KeralaFloods2018 pic.twitter.com/7z5v0kYeb4";;;#NASA #Kerala #KeralaFlood #KeralaFloods2018;"1034319554019639297";https://twitter.com/gautamlakra93/status/1034319554019639297
;2018-08-28 11:14;2;6;""This is worth documenting and sharing widely for others to learn from Kerala. I have been highly impressed." - https:// bit.ly/2MEdnaw @IASassociation @UNICEFIndia @CMOKerala #Kerala #KeralaFlood #KeralaFloodRelief pic.twitter.com/YDCAkTBzvh";;@IASassociation @UNICEFIndia @CMOKerala;#Kerala #KeralaFlood #KeralaFloodRelief;"1034315781373190144";https://twitter.com/thebetterindia/status/1034315781373190144
