date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-03-17 02:59:26,eq_info,,0,0,0,"【地震超速報】 11:59:19 宮城県 唐桑 気仙沼 予想震度0 #地震 #地震速報 #津波 #災害 #余震 #本震 #緊急地震速報 #拡散希望",,,#地震 #地震速報 #津波 #災害 #余震 #本震 #緊急地震速報 #拡散希望,1107114187384184832,s://twitter.com/eq_info//1107114187384184832
2019-03-17 02:58:29,lebleudeciel38,iminnhantai,0,2,2,"津波の映像 s://twitter.com/mabo_k_//1105104932074479620 … #津波",,,#津波,1107113951693668352,s://twitter.com/lebleudeciel38//1107113951693668352
2019-03-17 01:41:11,eq_info,,0,0,0,"【地震超速報】 10:40:56 地中加速度変化 香川県 三野 #地震 #地震速報 #津波 #災害 #余震 #本震 #緊急地震速報 #拡散希望",,,#地震 #地震速報 #津波 #災害 #余震 #本震 #緊急地震速報 #拡散希望,1107094495055630337,s://twitter.com/eq_info//1107094495055630337
2019-03-17 01:20:23,miotone,,1,0,10,"着いたー！！ 東北初上陸！！ #仙台 #東北 #peach #仙台空港 #東日本大震災 #津波 #津波到達地点pic.twitter.com/N2NoLokg8E",,,#仙台 #東北 #peach #仙台空港 #東日本大震災 #津波 #津波到達地点pic,1107089263303098368,s://twitter.com/miotone//1107089263303098368
2019-03-17 01:08:22,anchanjp,,0,0,0,"2016.5.４リチャード・コシミズ熊本緊急講演会動画が公開「米国1％の地震兵器による対日攻撃を体を張って止める」://bit.ly/1SWDFzP #福島 #福島県 #福島市 #いわき市 #小名浜港 #津波 #地震 #津波警報",,,#福島 #福島県 #福島市 #いわき市 #小名浜港 #津波 #地震 #津波警報,1107086237725270016,s://twitter.com/anchanjp//1107086237725270016
2019-03-17 01:01:13,i9vswge2r4npeb1,,0,2,4,"磯田道史『天災から日本史を読みなおす』読了 長い歴史のスパンで自然災害が日本に与えた影響と被害。個人単位、行政単位での災害への｢備え｣、発生時における｢マインドセット｣は今も昔も変わり無いのね。｢自分｣を守るのは｢自分｣。 #中公新書 #地震 #津波 #高潮 #台風 #土砂崩れ",,,#中公新書 #地震 #津波 #高潮 #台風 #土砂崩れ,1107084440755273728,s://twitter.com/i9vswge2r4npeb1//1107084440755273728
2019-03-17 00:13:57,eq_info,,0,0,0,"【地震超速報】 09:13:42 地中加速度変化 大分県 庄内 #地震 #地震速報 #津波 #災害 #余震 #本震 #緊急地震速報 #拡散希望",,,#地震 #地震速報 #津波 #災害 #余震 #本震 #緊急地震速報 #拡散希望,1107072542735372288,s://twitter.com/eq_info//1107072542735372288
2019-03-17 00:07:40,1radi2,,0,0,0,"岩手日報「最後だとわかっていたなら」風の電話ー夢の中で帰ってきたー篇 s://youtu.be/Hr4TOn-GPhA #東日本大震災 の事みんな忘れないでね #地震 #津波",,,#東日本大震災 #地震 #津波,1107070960463577089,s://twitter.com/1radi2//1107070960463577089
2019-03-16 23:48:08,eq_info,,0,0,0,"【地震超速報】 08:47:31 震度2 秋田県 阿仁 #地震 #地震速報 #津波 #災害 #余震 #本震 #緊急地震速報 #拡散希望pic.twitter.com/FAvLhch92q",,,#地震 #地震速報 #津波 #災害 #余震 #本震 #緊急地震速報 #拡散希望pic,1107066047440404480,s://twitter.com/eq_info//1107066047440404480
2019-03-16 23:47:33,eq_info,,0,0,0,"【地震超速報】 08:47:31 秋田県 阿仁 予想震度1 #地震 #地震速報 #津波 #災害 #余震 #本震 #緊急地震速報 #拡散希望",,,#地震 #地震速報 #津波 #災害 #余震 #本震 #緊急地震速報 #拡散希望,1107065897938644993,s://twitter.com/eq_info//1107065897938644993
2019-03-16 23:45:13,cocoa_kikuhuku,,0,0,0,"作品に罪はありません。 薬で捕まった人の作品に言うなら、サザンのTSUNAMIを流せよ。 薬も何もしてねぇのに、ましてや男の純情を歌っただけなのに自粛してんじゃねぇよ。 #earthquake #津波 #涙が止まらない #何も考えずに自然と流せる世界を祈ってます",,,#earthquake #津波 #涙が止まらない #何も考えずに自然と流せる世界を祈ってます,1107065313936330752,s://twitter.com/cocoa_kikuhuku//1107065313936330752
2019-03-16 23:38:24,eq_info,,0,0,0,"【地震超速報】 08:37:49 震度0 岩手県 二戸西 #地震 #地震速報 #津波 #災害 #余震 #本震 #緊急地震速報 #拡散希望pic.twitter.com/yERPINsFeA",,,#地震 #地震速報 #津波 #災害 #余震 #本震 #緊急地震速報 #拡散希望pic,1107063596561760256,s://twitter.com/eq_info//1107063596561760256
2019-03-16 23:37:52,eq_info,,0,0,0,"【地震超速報】 08:37:49 青森県 田子、岩手県 安代 二戸西 予想震度0 #地震 #地震速報 #津波 #災害 #余震 #本震 #緊急地震速報 #拡散希望",,,#地震 #地震速報 #津波 #災害 #余震 #本震 #緊急地震速報 #拡散希望,1107063465116499968,s://twitter.com/eq_info//1107063465116499968
2019-03-16 23:26:22,eq_info,,0,0,0,"【地震超速報】 08:25:46 震度0未満 岐阜県 土岐 各務原 #地震 #地震速報 #津波 #災害 #余震 #本震 #緊急地震速報 #拡散希望pic.twitter.com/xOTGsxMLII",,,#地震 #地震速報 #津波 #災害 #余震 #本震 #緊急地震速報 #拡散希望pic,1107060568387538944,s://twitter.com/eq_info//1107060568387538944
2019-03-16 23:25:49,eq_info,,0,1,1,"【地震超速報】 08:25:46 愛知県 尾西 小牧 清洲 予想震度0 #地震 #地震速報 #津波 #災害 #余震 #本震 #緊急地震速報 #拡散希望",,,#地震 #地震速報 #津波 #災害 #余震 #本震 #緊急地震速報 #拡散希望,1107060428507471872,s://twitter.com/eq_info//1107060428507471872
2019-03-16 22:38:01,miyagiDandeLion,,0,0,0,"【RT希望】宮城県内で活動しています！活動報告をブログHPで行っています。ご賛同頂ける方ご連絡下さい！スタッフブログ://ameblo.jp/dande-lion-miyagi/ … HP ://miyagidandelion.web.fc2.com/ #津波",,,#津波,1107048402087378944,s://twitter.com/miyagiDandeLion//1107048402087378944
2019-03-16 22:30:59,ridemtb1,,0,0,0,"#地下鉄サリン事件 後世に語り継ぎを s://ndjust.in/TMTiiiq_ 「処刑しましたハイ終了」で済ませて、結果損をするのは自分達だと思う。 #オウム真理教 #東日本大地震 #阪神淡路大震災 #地震 #津波 #上川陽子",,,#地下鉄サリン事件 #オウム真理教 #東日本大地震 #阪神淡路大震災 #地震 #津波 #上川陽子,1107046629276680192,s://twitter.com/ridemtb1//1107046629276680192
